asset_type,asset_sub_type,asset_sub_type_description,business_function,business_activity,retention_period,retention_reason,security_title,action_on_expiry,reason_for_action,appraisal_criteria,authorised_by,authorisation_date,master,classification_code,notes,keywords
Documents,Treasury Letters,,FINANCE,Funding,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,World Service,01/11/2004,World Service Finance,FN-Funding,,
Documents,Confidential Daily Log of Security Events and Output Events,,BROADCASTING,Disaster Planning,3 years,Business Need,Restricted Access,Review,Possible Historical Interest, No Appraisal Criteria at present,_Records Management,01/04/2005,Broadcast Continuity,SM-BusCont-002,,
Documents,White Papers,,ENGINEERING AND TECHNOLOGY,Technical Development,Completion of project+7,Business Need,Public Access,Review,Possible Historical Interest,N/A,_Records Management,01/04/2005,Research and Development,ET-Technical-005,,
Documents,Confidential Papers,,ENGINEERING AND TECHNOLOGY,Technical Development,Completion of project+7,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,_Records Management,01/04/2005,Research and Development,ET-Technical-005,,
Documents,Complaints - Quarterly Report,,COMMUNICATIONS AND MARKETING,Licence Fee,5 years,Business Need, N/A,Review,Possible Historical Interest, No Appraisal Criteria at present,_Records Management,01/06/2005, N/A,CM-LicenceFee,,
Documents,Negative Checks Findings,Records of negative check searches.   The negative check system tries to ensure that a name or other details invented for a BBC programme or publication does not exist in reality. Telephone numbers for drama purposes are provided by Ofcom.   ,LEGAL AND CONTRACTS,Intellectual Property,7 years,Business Need,Restricted Access,Destroy,Business Need,N/A,Information and Archives,01/05/2011,Information and Archives,LC-IntelProp-012,Background/Research documentation can be destroyed after 2 years. This allows Tx+12 months for any defamation claims to have been brought.,
Documents,Inflight Projects,,ENGINEERING AND TECHNOLOGY,Project Management,Completion of project+7,Business Need,Restricted Access,Review,BBC Best Practice,Project Documentation,BBC PMO,01/05/2013,Departments,SM-ProjectMan-003,,
Documents,Facilities Services Contributions - Agreements,Forms signed by a contributor or a supplier of a facility or service allowing use in programme of that contribution or facility or service. Includes Location Consent Forms. Often there is no fee.,PRODUCTION,Content Creation,6 years,Limitation Act,Restricted Access,Review,BBC Best Practice,N/A,Legal Affairs - Rights,01/09/2006,Production Office,LC-Contracts-005,Limitation period runs from breach rather than contract date ,
Documents,Personal Emergency Evacuation Plans,"Plans for the safe evacuation of individual staff who need assistance to escape from a building in an emergency. For instance, someone whose mobility is impaired (permanently or temporarily), or a visually impaired person and very young people.  ",PERSONNEL,Health and Safety,Until Superseded+6 Months,Health and Safety at Work Act 1974,Restricted Access,Destroy,No Further Value,N/A,Head of Safety Policy and Compliance,01/10/2011,Manager,PE-HealthSafe-013,"Copies held by individual, assistants and Building Manager (FM), for it to be included alongside the building fire manual  ",
Documents,Anti Terror Processes,,BROADCASTING,Disaster Planning,Until Superseded,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/12/2004, N/A,SM-BusCont-001,,
Documents,Access Technology - Policies,,PERSONNEL,Policy,Until Superseded,Business Need,Public Access,Review,BBC Best Practice,N/A,BBC People,01/12/2004, N/A,SM-Policy-004, ,
Documents,Contract Advice,Advice from internal or external sources relating to sa specific contract or to contracts in general,LEGAL AND CONTRACTS,Contracts,Current+6,Legal,Restricted Access,Review,BBC Best Practice,N/A,Litigation and Intellectual Property,01/11/2004,CLIP,LC-Contracts-003,,
Documents,Communication Plans,,COMMUNICATIONS AND MARKETING,Communications,3 years,Business Need, N/A,Review,Business Need,N/A,_Records Management,01/06/2013,Departments,CM-Communicat,,
Documents,Unsolicited Scripts - Accepted,,PRODUCTION,Programme Development,2 years,Business Need,Editorially Sensitve,Review,Possible Historical Interest,N/A,Entertainment and Events,01/12/2004,Writers Room,PR-ProgDev-001,http://www.bbc.co.uk/writersroom/send-a-script/terms-and-conditions,
Documents,Travel and Hotel Arrangements,"Travel Arrangements and Hotel Arrangements, visa applications",PROPERTY AND SERVICES,Transport Management,2 years,BBC Best Practice,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/03/2005, N/A,PR-TranspoMan-004,,
Documents,Deeds of Security,,PRODUCTION,Content Creation,Permanent,Business Need,Restricted Access,Archive,BBC Best Practice,N/A,_Records Management,01/01/2005,BBC Films,LC-Contracts-001,,
Documents,Interparty Agreements,,PRODUCTION,Content Creation,Permanent,Business Need,Restricted Access,Archive,BBC Best Practice,N/A,_Records Management,01/01/2005,BBC Films,PR-Commission-005,,
Documents,Dead Project Details,,PRODUCTION,Content Creation,10 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,BBC Films,01/01/2005,BBC Films,SM-ProjectMan-002,Kept for 10 years in case project is resurrected,
Documents,Child Protection Referrals (No Action),Child Protection,LEGAL AND CONTRACTS,External Liaison,1 year,Legal,Restricted Access,Destroy,Data Protection Act,N/A,Vision,01/05/2011,CRB,LC-ExtLiaison-005,,
Documents,Testing and Acceptance Plans,,INFORMATION MANAGEMENT,Project Management,Completion of project+7,Business Need,Non-Restricted,Archive,Historical,N/A,_Records Management,01/05/2013,Departments,SM-ProjectMan-001,,
Documents,European Broadcasting Union Councils,,EXTERNAL ACCOUNTABILITY,European Relations,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Policy,01/12/2004,Nicholas Kenyon,EA-EuroRels,,
Documents,Vetting Guidelines,,INFORMATION MANAGEMENT,Information Security,Until Superseded,Business Need,Non-Restricted,Archive,Historical,N/A,Revenue Management,01/11/2004,Information and Archives,IM-InfoSec-008,,
Documents,Draft Minutes,,COMMUNICATIONS AND MARKETING,Meetings,Until Superseded,Business Need,Restricted Access,Destroy,Superseded,N/A,IPC Team,01/01/2005, N/A,CM-Meetings-003,Drafts and local copies can be kept for 1 year/until superseded.,
Documents,Draft Minutes,,STRATEGIC MANAGEMENT AND DIRECTION,Meetings,Until Superseded,Business Need,Restricted Access,Destroy,Superseded,N/A,IPC Team,01/01/2005, N/A,N/A,NULL,
Documents,FCO Spares,,FINANCE,Government Relations,5 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,World Service,01/11/2004,World Service Finance,FN-GovRels-003,,
Documents,Internal Papers,,ENGINEERING AND TECHNOLOGY,Technical Development,Completion of project+7,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,_Records Management,01/01/2001,Research and Development,ET-Technical-005,,
Documents,Secret Papers,,ENGINEERING AND TECHNOLOGY,Technical Development,Completion of project+7,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,_Records Management,01/04/2005,Research and Development,ET-Technical-005,,
Documents,Monthly Report,,ENGINEERING AND TECHNOLOGY,Technical Development,3 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/04/2005,New Media and Technology,ET-Technical-003,Restricted due to BBC's Commercial Interests.,
Documents,Competitive Tendering Records,Records relating to the development and issue of tender documents.,FINANCE,Tendering,6 years,BBC Best Practice,Restricted Access,Review,Business Need,N/A,_Records Management,01/11/2011,Procurement,FN-Tendering,,
Documents,Reporting Records,,PROPERTY AND SERVICES,Supplies and Equipment,7 years,Business Need, N/A,Review,Business Need,N/A,Procurement,01/12/2011,Procurement,PS-SuppEquip-001,,
Documents,Children's Working Hours,Record of the hours children have been working each week. See also Child Performance Licence,PRODUCTION,Talent Management,End of Production+6 Months,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/11/2008,Production Office,PR-TalentMan-006,see also Child Performance Licences,
Documents,Children's Permission Forms,"Signed forms granting permission for children to take part in auditions for programmes, competitions, programme presentation etc.",PRODUCTION,Casting,18 months,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,_Records Management,01/05/2012,Production Office,PR-Casting-001,includes contact details and applications for children not used in any production,
Documents,Editors Agreements,,PRODUCTION,Content Creation,Permanent,Business Need,Restricted Access,Archive,BBC Best Practice,N/A,_Records Management,01/01/2005,BBC Films,PR-TalentMan-004,,
Documents,Child Protection Guidelines,,LEGAL AND CONTRACTS,External Liaison,Until Superseded,Child Protection Act,Restricted Access,Destroy,No Further Value,N/A,Legal,01/02/2005,Childrens,SM-Policy-004,,
Documents,Child Protection Issues,Child Protection Referrals where action may need to be taken,LEGAL AND CONTRACTS,External Liaison,Case Closed+6 Years,Business Need,Restricted Access,Destroy,Data Protection Act,N/A,Vision,01/05/2011,CRB,LC-ExtLiaison-006,,
Documents,Contributor Contracts,Contributor Contracts,PRODUCTION,Talent Management,Permanent,Limitation Act,Restricted Access,Archive,Reuse,N/A,_Records Management,01/09/2009,Talent & Rights Negotiation Group,PR-TalentMan-004,Hard copy held by I&A. Anon held on The Core.,
Documents,Cast Lists,includes Final Cast Lists,PRODUCTION,Casting,7 years,Business Need,Editorially Sensitve,Destroy,No Further Value,N/A,Vision,01/05/2011,Production Office,PR-Casting-002,,
Documents,World Service Training Trust Records,,STRATEGIC MANAGEMENT AND DIRECTION,Training and Development,6 years,Business Need,Restricted Access,Review,Possible Historical Interest, No Appraisal Criteria at present,World Service Trust,01/03/2006,World Service,PE-TrainDev-006,,
Documents,Draft Deeds,,LEGAL AND CONTRACTS,Conveyancing,6 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,Property Legal,01/04/2006,Legal Department,LC-Conveyance-007,,
Documents,Governors Expenses,Records documenting the payment of expenses incurred in the course duties by the BBC Governors.,EXTERNAL ACCOUNTABILITY,Regulation,7 years,Finance Act,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/06/2005, N/A,EA-Regulation-009,,
Documents,Disaster Planning Meetings,,BROADCASTING,Disaster Planning,3 years,Business Need,Restricted Access,Review,Possible Historical Interest, No Appraisal Criteria at present,_Records Management,01/06/2005, N/A,CM-Meetings-003,,
Documents,Marketing Briefs,,COMMUNICATIONS AND MARKETING,Promotions,5 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/03/2007,Departments,CM-Promotions-003,,
Documents,Legal Advice,,LEGAL AND CONTRACTS,Advice,End of Year+6,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,_Records Management,01/05/2005, N/A,LC-Advice-001,,
Documents,Stationery Orders,,PROPERTY AND SERVICES,Supplies and Equipment,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/06/2005, N/A,PS-SuppEquip,,
Documents,Cash Advance Forms,,FINANCE,Accounting,7 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2005, N/A,FN-Accounting,,
Documents,Weekly Cost Reports,,FINANCE,Accounting,3 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2005, N/A,FN-Accounting-008,,
Documents,Governors Reviews,,EXTERNAL ACCOUNTABILITY,Accountability,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Director Generals Office,01/12/2005, N/A,EA-Accountab-017,,
Documents,Corporate Social Responsibility Records,,EXTERNAL ACCOUNTABILITY,Corporate Social Responsibility,3 years,Business Need,Restricted Access,Destroy,Local Copies,N/A,NULL,01/01/2008,Corporate Social Responsibility,EA-CorpSocial-007,,
Documents,External Reviews,,EXTERNAL ACCOUNTABILITY,Accountability,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Director Generals Office,01/12/2005, N/A,EA-Accountab-017,,
Documents,FOI Records,,LEGAL AND CONTRACTS,Compliance,5 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/06/2005, N/A,LC-Compliance-002,,
Documents,Terms of Reference,,STRATEGIC MANAGEMENT AND DIRECTION,Meetings,Until Superseded,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/02/2007, N/A,BD-Meetings-004,,
Documents,Third Party Records,,LEGAL AND CONTRACTS,Intellectual Property,Until Superseded,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,Technology Direction,01/05/2005, N/A,N/A,NULL,
Documents,Events Records,,COMMUNICATIONS AND MARKETING,Events,3 years,Business Need,Restricted Access,Review,Possible Historical Interest, No Appraisal Criteria at present,_Records Management,01/01/2007,Departments,CM-Events,,
Documents,Licence Fee Negotiations,,EXTERNAL ACCOUNTABILITY,Licence Fee,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,_Records Management,01/06/2005, N/A,EA-LicenceFee-001,,
Documents,Planned Preventative Maintenance Records,"Records of maintenance on property and equipment. Includes, lifting equipment, emergency lighting, lightning protection, permits to work, fire drills, fire alarms, hygiene measurement, ventilation, pressure systems, fire protection equipment.  ",PERSONNEL,Health and Safety,7 years,"Workplace (Health, Safety and Welfare) Regulations 1992",Restricted Access,Destroy,No Further Value,N/A,BBC Workplace,01/08/2007,BBC Workplace,PE-HealthSafe-003,Hard Copy needs to be retained as well as electronic as it has signature (engineer) on in case of comeback. May need to retain longer in case of claim.,
Documents,Permissions,,INFORMATION MANAGEMENT,Information Security,5 years,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/06/2005, N/A,IM-InfoSec-009,,
Documents,Information Gathering Forms,,INFORMATION MANAGEMENT,Information Security,7 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/02/2007, N/A,IM-InfoSec-015,,
Documents,Grant Information,,FINANCE,Licence Fee,Permanent,Business Need, N/A,Archive,BBC Best Practice,N/A,_Records Management,01/06/2005, N/A,FN-LicenceFee-002,,
Documents,Reprographic Services,"Includes Microfilming, Photocopying and Scanning.",INFORMATION MANAGEMENT,Conservation,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/06/2005,Information and Archives,IM-Conservat,,
Documents,Correspondence,Communication between one party and another by letter or e-mail,INFORMATION MANAGEMENT,Disposition,5 years,Business Need, N/A,Review,Possible Historical Interest,N/A,_Records Management,01/06/2005,Information and Archives,IM-Dispositio-005,,
Documents,Correspondence,Communication between one party and another by letter or e-mail,INFORMATION MANAGEMENT,Conservation,5 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/06/2007, N/A,IM-Conservat-005,,
Documents,Enquiries,,INFORMATION MANAGEMENT,Enquiries and Research,6 months,Business Need, N/A,Review,Possible Historical Interest,N/A,_Records Management,01/06/2005,Information and Archives,IM-EnquirRes-001,,
Documents,Internal Reviews,,STRATEGIC MANAGEMENT AND DIRECTION,Strategy,Completion of project+5,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,_Records Management,01/06/2005, N/A,SM-Strategy-001,,
Documents,FOI Meetings,,LEGAL AND CONTRACTS,Meetings,3 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/06/2005, N/A,LC-Meetings-001,,
Documents,Deposit Histories and Agreements,,INFORMATION MANAGEMENT,Intake,Permanent,Business Need, N/A,Archive,BBC Best Practice,N/A,_Records Management,01/06/2005, N/A,IM-Intake-002,,
Documents,Deposit Histories and Agreements,,INFORMATION MANAGEMENT,Disposition,5 years,Business Need,Restricted Access,Review,BBC Best Practice, No Appraisal Criteria at present,Information and Archives,01/12/2010,Information and Archives,IM-Dispositio-007,These are agreements for deposits with external organisations and last for 5 years. They may continue after but need reviewing at this point.,
Documents,Interview Questions,Questions used when recruiting staff,PERSONNEL,Recruitment,Until Superseded,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/06/2005,Departments,PE-Recruit-011,,
Documents,Customer Complaints,NOT programme complaints. Internal and external customers.  ,COMMUNICATIONS AND MARKETING,Complaints,3 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/05/2006, N/A,CM-Complaints-001,,
Documents,Customer Complaints,NOT programme complaints. Internal and external customers.  ,COMMUNICATIONS AND MARKETING,Licence Fee,5 years,Business Need, N/A,Review,Possible Historical Interest, No Appraisal Criteria at present,_Records Management,01/06/2005, N/A,CM-LicenceFee,,
Documents,Requests,Includes ID Unit requests,PROPERTY AND SERVICES,Security,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/09/2005, N/A,PS-Security,,
Documents,Requests,,ENGINEERING AND TECHNOLOGY,Technical Support,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/09/2005, N/A,ET-Technical-007,,
Documents,Reports,Written account of an investigation or collation of results,ENGINEERING AND TECHNOLOGY,Technical Support,3 years,Business Need,Restricted Access,Review,No Further Value,N/A,Technology Direction,01/10/2005,Technology Group,ET-Technical-003,,
Documents,Data Protection Notifications,,LEGAL AND CONTRACTS,Compliance,Until Superseded,Business Need,Restricted Access,Destroy,Superseded,N/A,IPC Team,01/05/2006, N/A,LC-Compliance-003,,
Documents,Project Details,,ENGINEERING AND TECHNOLOGY,Project Management,7 years,BBC Best Practice,Restricted Access,Review,BBC Best Practice,Project Documentation,BBC PMO,01/05/2013,Departments,SM-ProjectMan-001,,
Documents,Approvals,"Includes finance case, precis and list of documents",LEGAL AND CONTRACTS,Conveyancing,Current+6,Limitation Act,Restricted Access,Review,BBC Best Practice,N/A,Property Legal,01/10/2005,BBC Property Solicitors,LC-Conveyance-002,,
Documents,Declarations and Notices,"Includes Statement of Claim, affidavit, notices to quit",LEGAL AND CONTRACTS,Conveyancing,Current+6,Business Need,Restricted Access,Review,BBC Best Practice,N/A,Property Legal,01/10/2005,BBC Property Solicitors,LC-Conveyance-004,,
Documents,Management Reporting,,STRATEGIC MANAGEMENT AND DIRECTION,Internal Communication,3 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/07/2006,Departments,CM-Communicat-014,,
Documents,Routine Tape Requests,,LEGAL AND CONTRACTS,Research,2 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/07/2006,Legal Department,LC-Enquiries-001,,
Documents,Reference Material,,INFORMATION MANAGEMENT,Enquiries and Research,Expiry,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/06/2005, N/A,IM-EnquirRes-003,Refers to information from external and internal sources,
Documents,Preservation Services,,INFORMATION MANAGEMENT,Conservation,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/12/2006,Information and Archives,IM-Conservat,,
Documents,Business Analysis,,STRATEGIC MANAGEMENT AND DIRECTION,Strategy,5 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/01/2007,Departments,SM-Strategy-009,,
Documents,Pension Contributions,Records of pension contributions,PERSONNEL,Pensions,Permanent,Limitation Act,Restricted Access,Archive,BBC Best Practice,N/A,_Records Management,01/01/2007,Pensions,PE-Pensions-018,,
Documents,Cheque Requisitions,,FINANCE,Accounting,7 years,BBC Best Practice,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2007, N/A,FN-Accounting,,
Documents,Finance Committees,,FINANCE,Meetings,3 years,Business Need,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/02/2007, N/A,FN-Meetings-001,"Production Finance Committee, Financial Commercial and Technology Committee",
Documents,Liaison with panel firms and legal organisations,,LEGAL AND CONTRACTS,External Liaison,3 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/02/2007, N/A,LC-ExtLiaison-002,,
Documents,Social Activities of Staff,,PERSONNEL,Employment Management,3 years,Business Need,Restricted Access,Destroy,Business Need,N/A,_Records Management,01/02/2007, N/A,PE-Employman-008,,
Documents,Chain of Title,,PRODUCTION,Content Creation,Permanent,Business Need,Restricted Access,Archive,BBC Best Practice,N/A,_Records Management,01/01/2005, N/A,PR-Commission-005,"Co-Production Agreements, Joint Co-Production Agreements, Joint Venture Agreements, Independent Production Agreements  ",
Documents,Writers Agreements,,PRODUCTION,Content Creation,Permanent,Business Need,Restricted Access,Archive,BBC Best Practice,N/A,_Records Management,01/01/2005,BBC Films,PR-TalentMan-004,,
Documents,Sale and Leaseback Agreements,,PRODUCTION,Content Creation,Permanent,Business Need,Restricted Access,Archive,BBC Best Practice,N/A,_Records Management,01/01/2005,BBC Films,PR-TalentMan-004,,
Documents,Schedule of work,,ENGINEERING AND TECHNOLOGY,Technical Support,Period of business/administrative need,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/03/2007,Departments,ET-Technical-012,,
Documents,Itineraries,,PROPERTY AND SERVICES,Transport Management,2 years,Business Need,Restricted Access,Destroy,No Further Value,N/A,_Records Management,01/06/2005,Departments,PS-TranspoMan-004,,
Documents,Case Files,,PRODUCTION,Content Creation,Expiry+7,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/03/2007, N/A,PR-Content,,
Documents,Software Implementation,,ENGINEERING AND TECHNOLOGY,Technical Support,3 years,Business Need, N/A,Destroy,No Further Value,N/A,_Records Management,01/06/2005,New Media and Technology,ET-Technical-006,,
Documents,Control Records,"Includes Catalogues, Classification Schemes, Deposit History, System Wills.",INFORMATION MANAGEMENT,Control,Until Superseded,Business Need, N/A,Review,Possible Historical Interest,N/A,_Records Management,01/06/2005,Information and Archives,IM-Control,,
Documents,Selection Criteria,,INFORMATION MANAGEMENT,Disposition,Until Superseded,Business Need, N/A,Review,BBC Best Practice,N/A,_Records Management,01/06/2005,Information and Archives,IM-Dispositio,,
Documents,Markets and Competitors,,COMMUNICATIONS AND MARKETING,Competition,3 years,Business Need,Restricted Access,Review,Business Need, No Appraisal Criteria at present,_Records Management,01/03/2007,Departments,CM-Competition,,
Documents,Meeting Records,,INFORMATION MANAGEMENT,External Liaison,5 years,Business Need,Restricted Access,Review,Possible Historical Interest,N/A,_Records Management,01/06/2005, N/A,IM-Meetings,,
Documents,Templates,Templates for standard forms intended to capture information in order to facilitate processes initiated by either the member of staff or by an event,INFORMATION MANAGEMENT,Project Management,Until Superseded,Business Need,Non-Restricted,Destroy,No Further Value,N/A,_Records Management,01/06/2005,Departments,IM-Control-002,,
Documents,Schedule of Dilapidations,,LEGAL AND CONTRACTS,Conveyancing,Current+6,Business Need,Restricted Access,Archive,BBC Best Practice,N/A,Property Legal,01/10/2005,BBC Property Solicitors,LC-Conveyance-001,,
Documents,Completion Statement,Account of monies paid and payable regarding the acquisition or disposal of property,FINANCE,Accounting,7 years,BBC Best Practice,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/01/2007, N/A,FN-Accounting,,
Documents,Property Agreements,"Includes, agreements for sale, lease, surrender, construction, tenancy, licences, wayleave and riders and short particulars.",LEGAL AND CONTRACTS,Conveyancing,Expiry+6,Limitation Act,Restricted Access,Archive,BBC Best Practice,N/A,BBC Workplace,01/10/2004,BBC Property Solicitors,LC-Conveyance-001,includes Short (Small) Particulars  ,
Documents,Deeds,"Includes, leases, underleases, charge, bond, option, planning agreement, deed of variation and consent, rent deposit, deed of priority, deed of assignment, deed of surrender, warranty and guarantee.",LEGAL AND CONTRACTS,Conveyancing,Permanent,Limitation Act,Restricted Access,Archive,BBC Best Practice,N/A,BBC Workplace,01/10/2004,BBC Property Solicitors,LC-Conveyance-001,In hard copy if created by 3rd party. May be able to destroy once building has been disposed of,
Documents,Programme Legal Advice,Programme Legal Advice,LEGAL AND CONTRACTS,Advice,3 years,BBC Best Practice,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/10/2005, N/A,LC-Advice-002,,
Documents,Non-Financial Recognisation,,PERSONNEL,Employment Management,1 year,Business Need,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/10/2005,Departments,PE-EmployMan-013,,
Documents,Invoices,Document issued to or by the BBC for services or products purchased or sold detailing costs,FINANCE,Accounting,7 years,Business Need,Restricted Access,Destroy,NULL,N/A,_Records Management,01/01/2001,Finance,FN-Accounting, held in hard copy for one month ,
Documents,DCMS Approval Records,,EXTERNAL ACCOUNTABILITY,Government Relations,5 years,Business Need,Restricted Access,Review,Business Need,N/A,_Records Management,01/03/2007,DCMS,EA-GovRels,,
Documents,Trustees - Appointment,,EXTERNAL ACCOUNTABILITY,Regulation,Permanent,Business Need,Restricted Access,Archive,Historical,N/A,_Records Management,01/03/2007, N/A,EA-Regulation-008,,
Documents,Drivers Log Book,,PROPERTY AND SERVICES,Transport Management,Completion of project+5,Business Need,Restricted Access,Destroy,No Further Value,N/A,BBC Workplace,01/07/2012, N/A,PR-TranspoMan-007,,
Documents,Complaints - Monthly Report,,COMMUNICATIONS AND MARKETING,Licence Fee,5 years,Business Need, N/A,Review,Possible Historical Interest, No Appraisal Criteria at present,_Records Management,01/06/2005, N/A,CM-LicenceFee,,
Documents,Financial Authority,,FINANCE,Expenditure,Until Superseded+2,BBC Best Practice,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/06/2007, N/A,FN-Expendit-001,,
Documents,Environmental Monitoring,,INFORMATION MANAGEMENT,Conservation,5 years,BBC Best Practice,Restricted Access,Destroy,BBC Best Practice,N/A,_Records Management,01/06/2007, N/A,IM-Conserv-004,,
Documents,Statement of Health forms/ GP Declarations,,PERSONNEL,Health and Safety,7 years,BBC Best Practice,Restricted Access,Destroy,No Further Value,N/A,Health and Safety,01/05/2011,Production Office,PE-HealthSafe-040,,
Documents,Data Protection - Irregular Disclosures,Records relating to the unauthorised giving out of personal data - could be by mistake or deliberate,LEGAL AND CONTRACTS,Compliance,Period of business/administrative need,Data Protection Act,Restricted Access,Destroy,Data Protection Act,N/A,BBC People,01/08/2007,BBC People,LC-Compliance-012,,
Documents,Employment Reporting,,PERSONNEL,Employment Management,Period of business/administrative need,Business Need,Restricted Access,Review,BBC Best Practice,N/A,_Records Management,01/08/2007,BBC People,PE-EmployMan-017,,
