type,type_value,Description
Asset_sub_type,"Entertainment Rushes - Quiz Shows, Game Shows, Panel Shows",Examples: Beat the Pack; The Puppet Game Show; Mastermind; Dragon's Den. Excludes A Question of Sport. <i>See Entertainment Rushes - Sport Quiz Shows</i>
Asset_sub_type,Entertainment Rushes - Sport Quiz Shows,Example: Question of Sport
Asset_sub_type,Entertainment Rushes - Documentaries (Observational),"Examples: Shoplife; The Planners, Fazer's Urban Takeover."
Asset_sub_type,Entertainment Rushes - Documentaries (Archive Led),Examples: Goodbye TVC
Asset_sub_type,Events Rushes - Royal Content,
Asset_sub_type,Events Rushes - Obituaries,
Asset_sub_type,Events Rushes - Ad Hoc Events,Examples: National Theatre 50 Years; Barking Mad
Asset_sub_type,Events Rushes - Concerts and Eurovision,
Asset_sub_type,Events Rushes - Public Events,"Examples: Trooping the Colour, Lord Mayor's Show, Opening of Parliament, Service of Remembrance at the Cenotaph"
Asset_sub_type,Events Rushes - Top Gear,
Asset_sub_type,Children's Rushes - Pre-scripted Studio,Examples: Justin's House; Sam & Mark's Big Wind Up; The Slammer
Asset_sub_type,Children's Rushes - Studio,Example: Swashbuckle
Asset_sub_type,Children's Rushes - Documentaries,Example: Newsround Specials
Asset_sub_type,Children's Rushes - Documentaries (High End),Example: Fierce Earth
Asset_sub_type,Children's Rushes - Constructed Reality,"Examples: Marrying Mum & Dad; Cop School, Hero Squad"
Asset_sub_type,Children's Rushes - Animations,"Examples: Tree Fu Tom, The Lingo Show; Numtums"
Asset_sub_type,Children's Rushes - Magazine Shows (Studio Presenter Links),Examples: Blue Peter; Newsround; DNN
Asset_sub_type,Children's Rushes - Magazine Shows (Film Inserts),Examples: Blue Peter; Newsround
Asset_sub_type,Children's Rushes - Dramas,Examples: The Dumping Ground; Wolfblood; 4 O'Clock Club
Asset_sub_type,eBooks,interactive electronic books first published in early 2014 to be downloaded from iTunes on a trial basis
Asset_sub_type,Knowledge and Learning Rushes - iWonder Guides,
Asset_sub_type,Knowledge and Learning Rushes - Learning Zone,
Asset_sub_type,Knowledge and Learning Rushes - Bitesize and Schools,Includes Skillswise and Webwise.
Asset_sub_type,Knowledge and Learning Rushes - Internal Communications and Industry Films,
Asset_sub_type,Tweets,messages sent on Twitter
Asset_sub_type,Blogs,Blogs published in the http://bbc.co.uk domain.
Asset_sub_type,News Stills - UGC,User Generated Content (UGC) is any image provided by members of the public via the BBC News UGC team or BBC News journalists.   <p></p>    The UGC team are responsible for verifying the authenticity of the images and for supplying the copyright owner's details. Journalists are responsible for ensuring the veracity and the copyright of images. The images will be catalogued in the UGC collection in Elvis. The metadata will include the BBC contact who supplied the image and there will be a clear requirement for the copyright owner should to be credited.  
Asset_sub_type,User Generated Content - Published,Content created by members of the public and broadcast/published by the BBC. 
Asset_sub_type,User Generated Content - Unpublished,Content created by members of the public but not selected for broadcast/publication by the BBC.
Business_Function,FINANCE,"The function of managing the BBC's financial resources.  Includes establishing, operating and maintaining accounting systems, controls and procedures, financial planning and budgeting."
Business_Function,PRODUCTION,"Function of creating the BBC’s output in any media.  Includes the commissioning, development, creation and quality control of programmes, feature films, text based broadcasting services, works of art, material for publication, and associated merchandise, as well as the management of the creative talent."
Business_Function,BROADCASTING,"The function of distributing and preparing for distribution the BBC’s content and services, including transmission of television and radio programmes, publishing, web-publishing, mobile phone downloads.  Includes scheduling, arranging and presenting of content for distribution."
Business_Function,COMMUNICATIONS AND MARKETING,"Function of communicating and marketing the BBC's output and services to the public, facilitating communications between the public and communicating and interacting with the public, other broadcasting organisations and non-broadcasting organisations."
Business_Function,PERSONNEL,"The function of managing the BBC workforce. Includes advice and guidance provided regarding the personnel function, recruitment, training, pensions management, communication with staff and health and safety matters."
Business_Function,EXTERNAL ACCOUNTABILITY,"The function of governing the BBC and ensuring it remains accountable to the public.  Includes oversight of the BBC, setting and monitoring the BBC's objectives, fair trading compliance, public consultation, accounting to the public, and heritage obligations."
Business_Function,LEGAL AND CONTRACTS,"The function of providing legal services to the BBC.  Includes the interpretation and provision of advice to the organisation regarding legal matters and statutory legislation, drawing up of legal agreements, contracts, protecting the  BBC's intellectual property and the handling of legal actions and disputes. Also includes  legal matters relating to property. Contract negotiations, i.e. the discussion of terms, do not relate entirely to drawing up of contracts, and may take place outside of the legal function, e.g. under talent management (Production) or employee relations (Personnel)."
Business_Function,ENGINEERING AND TECHNOLOGY,"The function of designing, developing, testing and installing applications, systems and equipment to support the business of the BBC.  Includes computer systems, transmission equipment and production and post-production equipment, such as cameras, sound recording devices, lighting rigs and editing equipment."
Business_Function,PROPERTY AND SERVICES,"The function of managing the BBC's premises and property, Covers the delivery of services to those premises such as security, cleaning, porterage, transport and catering. Includes Transmitters and Relay station premises. For the maintenance of Transmitter equipment see ENGINEERING AND TECHNOLOGY. "
Business_Function,INFORMATION MANAGEMENT,"The function of managing the BBC's records, and library and information sources. Includes acquisition, creating, indexing, storing, retrieving and disposing of records and information sources under such acts as Data Protection and Freedom of Information."
Business_Function,STRATEGIC MANAGEMENT AND DIRECTION,"The function of providing broad management planning for the BBC, including executive business. Includes the activities involved with the development, monitoring and reviewing of business plans, strategic plans, corporate plans and other long-term organisational strategies; as well as moving employees from one area within the corporation to another and reducing and increasing staffing levels to meet strategic requirements."
Business_Activity,Information Security,"Activitiies associated with measures taken to ensure the availablility, integrity and confidentiality of the BBC's information. Includes data protection and vetting."
Business_Activity,Project Management,"Activity of planning, co-ordinating and controlling the delivery of products and services to an agreed time, quality and cost. Applies to the whole life of project from business case to post implementation review."
Business_Activity,Government Relations,Activities involved with establishing and maintaining formal relations between the BBC and the Government.
Business_Activity,Awards,Activities involved in recognising and honouring the achievements of the corporation and individuals. Includes attending and organising award ceremonies.
Business_Activity,Executive Business,Activities carried out by the BBC's leadership in their executive capacity to deliver strategic and operational leadership and ensure accountability.
Business_Activity,Records Management,"Activity of managing the organisation's records both electronic and hard copy. Includes the classification, indexing, retrieval, appraisal and disposition of records."
Business_Activity,Control,"Activities associated with creating, maintaining and evaluating control mechanisms for records, information resources and systems. Includes classification, indexing and forms design."
Business_Activity,Intake,The process of collecting corporate information in both hard copy and electronic format. Includes documents and radio and television programme output. For the  acquisition of library material USE Aquisition.
Business_Activity,Project Management,"Activity of planning, co-ordinating and controlling the delivery of products and services to an agreed time, quality and cost. Applies to the whole life of project from business case to post implementation review."
Business_Activity,Enquiries and Research,"Activities associated with the handling and researching of requests for information about the organisation and its services by the general public, BBC employees or other organisations."
Business_Activity,Compliance,"Activities associated with protecting the BBC's legal interests by complying with accountability, fiscal, legal, regulatory or quality standards and requirements."
Business_Activity,Conservation,"The preservation, protection, maintenance, restoration, and upkeep of property, documents, programme output and collections of information in order to prevent deterioration."
Business_Activity,Industry Relations,"Activities involved with establishing and maintaining formal relations between the BBC and other UK, Worldwide and European broadcasters.  See also European Relations for EBU and EU."
Business_Activity,Industry Relations,"Activities involved with establishing and maintaining formal relations between the BBC and other UK, Worldwide and European broadcasters.  See also European Relations for EBU and EU."
Business_Activity,Commemoration,"Activities involved in arranging and managing special events to commemorate and honour a particular event, person etc. Includes anniversaries, memorial services and obituaries."
Business_Activity,Policy,"Activities associated with developing and establishing decisions, directions and precedents which act as a reference for future decision making, as the basis from which the organisation's operating procedures are determined."
Business_Activity,Policy,"Activities associated with developing and establishing decisions, directions and precedents which act as a reference for future decision making, as the basis from which the organisation's operating procedures are determined."
Business_Activity,Strategy,"Activity of designing new structures, defining divisional objectives, and looking at ways to make savings whilst delivering better programmes and services."
Business_Activity,Disputes,"Process of handling any disagreement pertaining to legal issues such as copyright, repeats, misrepresentation.  See also Appeals, Grievances, Litigation."
Business_Activity,Disaster Planning,Activity of devising contingency plans to be used in the event of an unforseen event or disaster.  Includes evacuation and relocation procedures and emergency broadcasting procedures.
Business_Activity,Strategy,"Activity of designing new structures, defining divisional objectives, and looking at ways to make savings whilst delivering better programmes and services."
Business_Activity,Auditing,"Activities associated with officially checking financial, quality assurance and operational records to ensure they have been kept and maintained in accordance with agreed or legislated standards."
Business_Activity,Conveyancing,"Activities associated with the transfer of property from one party to another. Includes leases, deeds, title documents."
Business_Activity,Investigations,The activities associated with carrying out investigations into accusations of misconduct or illegal activities.  Also includes investigations into accidents and system failures.
Business_Activity,Training and Development,"Includes all aspects of external and internal training and development, including Staff Appraisals. Also includes training offered to external organisations and individuals (e.g.work experience)."
Business_Activity,Policy,"Activities associated with developing and establishing decisions, directions and precedents which act as a reference for future decision making, as the basis from which the organisation's operating procedures are determined."
Business_Activity,Disaster Planning,Activity of devising contingency plans to be used in the event of an unforseen event or disaster.  Includes evacuation and relocation procedures and emergency broadcasting procedures.
Business_Activity,Heritage,Activity of recording the history of the BBC and recognising its past achievements. Includes planning the celebration of anniversaries.
Business_Activity,Sales,"Activity of selling BBC content, products and services."
Business_Activity,Contracting-Out,"The activities involved in managing the performance of work or the provision of goods and services by an external contractor, vendor or consultant, or by using external bureau services.  Includes outsourcing."
Business_Activity,Communications,
Business_Activity,Policy,"Activities associated with developing and establishing decisions, directions and precedents which act as a reference for future decision making, as the basis from which the organisation's operating procedures are determined."
Business_Activity,Investigation,The activities associated with investigations into criminal activities of staff and also licence fee evasion
Business_Activity,Disposition,"Activities involved in the transfer of property and resources by sale, destruction, termination of lease, or donation etc. Includes the disposition of information and business records."
Business_Activity,Financial Planning,"Process of formulating ways in which financial objectives can be achieved. Includes forecasting, controlling costs, and setting and  monitoring budget allocations."
Business_Activity,Funding,Processes involved in the application for and receipt of funds and revenue sources. Includes grants. See also Licence Fee.
Business_Activity,Investments,"Activity of investing the organisation's money and resources into worthwhile ventures.  Includes loans, proposals and authorisations, and post investment reviews."
Business_Activity,Loans,Activities involved with the lending and borrowing of resources and allocating borrowing powers such as powers of attorney.
Business_Activity,Broadcast Appeals,Activity of selecting applications for broadcast appeals.
Business_Activity,Fair Trading,Activity of agreeing and reviewing the BBC’s Fair Trading Commitment and Commercial Policy Guidelines.  Includes monitoring of the effectiveness of the BBC’s procedures.
Business_Activity,Absence and Leave,Process of administering leave for which staff are eligible. Includes unauthorised absence and leave taken by staff.
Business_Activity,Cessation,"Activities associated with managing any method of leaving an organisation.  Includes resignation, retirement, dismissal, death in service and redundancy."
Business_Activity,Deployment,Process of redistributing resources to or within a given area of the organisation.  Includes rotas and resettlement and relocation of staff.
Business_Activity,Diversity,Process of managing diversity across the organisation.  Includes monitoring of equal opportunities.
Business_Activity,Project Management,"Activity of planning, co-ordinating and controlling the delivery of products and services to an agreed time, quality and cost. Applies to the whole life of project from business case to post implementation review."
Business_Activity,Commemoration,"Activities involved in arranging and managing special events to commemorate and honour a particular event, person etc. Includes anniversaries, memorial services and obituaries."
Business_Activity,Remuneration,"Activities associated with the management of the organisations payment of salaries and provision of benefits to employees.  Includes pensions, allowances, expenses, incentives, and health and insurance benefits."
Business_Activity,Channel Management,The strategic planning and management of output on existing and new BBC Radio and Television services and the development of all new digital channels.
Business_Activity,Editorial,"To interpret and apply editorial guidelines  with respect to content and presentation to ensure programmes remain challenging, informative, rigorous entertaining and coherent."
Business_Activity,Newsgathering,Gathering news from source and sending items back for future broadcast.
Business_Activity,Recording,Activities involved in recording images and sound for programme making purposes.
Business_Activity,Refurbishment,"Process of establishing or refurbishing a workplace. Includes fixtures and fittings, partitions etc."
Business_Activity,Change Management,"Process of reassessment, alteration and restructuring of BBC organisation, processes and environment in line with corporate strategy and policies. See also DEPLOYMENT."
Business_Activity,Strategy,"Activity of designing new structures, defining divisional objectives, and looking at ways to make savings whilst delivering better programmes and services."
Business_Activity,Joint Ventures,"Activities involved in managing the joint operations and relationship between the BBC and external partners for the purpose of commercial gain, and sharing expertise and risks."
Business_Activity,Maintenance,"Activities associated with the upkeep, repair, servicing and modification of internal and external conditions of property, equipment, vehicles etc."
Business_Activity,Meetings,"Activities associated with ad hoc gatherings held to formulate, discuss, update, or resolve issues and matters pertaining to the management of the team, department or organisation"
Business_Activity,Research,"Activities involved in investigating or enquiring into a subject or area of interest in order to discover facts, principles etc. to be used to support the development of projects, programmes, standards and general business activities."
Business_Activity,Testing,Process of testing software and equipment before and after installation or use.
Business_Activity,Acquisition,"Process of gaining ownership or use of property and other items, or the provision of services required in the conduct of business through procurement process, purchase, requisitions or donations.  Includes the acquisition of deeds"
Business_Activity,Advice,"Process of providing advice, guidance, expertise and knowledge to other areas of the organisation. Includes external projects."
Business_Activity,Awards,Activities involved in recognising and honouring the achievements of the corporation and individuals. Includes attending and organising award ceremonies.
Business_Activity,Complaints,Process of dealing with the reaction to the BBC's policy and services.
Business_Activity,Policy,"Activities associated with developing and establishing decisions, directions and precedents which act as a reference for future decision making, as the basis from which the organisation's operating procedures are determined."
Business_Activity,Events,Arranging and managing the activities associated with public and staff events and festivals. Does NOT include exhibitions.
Business_Activity,External Liaison,"Activity of liaising with external organisations and people on general matters. Use specific activities for liaison where possible such as parliamentary relations, public relations, media relations etc."
Business_Activity,Intellectual Property,"Protecting and promoting the BBC’s intellectual property interests and assets. Includes the registering, renewing and disposition of trademarks and copyright. Also trademark infringements. For Programme clearance and acquition use RIGHTS."
Business_Activity,Meetings,"Activities associated with ad hoc gatherings held to formulate, discuss, update, or resolve issues and matters pertaining to the management of the team, department or organisation"
Business_Activity,Publishing,"Function of developing and producing material in various formats for distribution and sale.  Includes books, video, DVD etc."
Business_Activity,Research,"Activities involved in investigating or enquiring into a subject or area of interest in order to discover facts, principles etc. to be used to support the development of projects, programmes, standards and general business activities."
Business_Activity,Visits,Activities associated with internal and external visits by staff and members of the public.
Business_Activity,Advice,"Process of providing advice, guidance, expertise and knowledge to other areas of the organisation. Includes external projects."
Business_Activity,Inspections,"Process of official examinations of facilities, equipment and items to ensure compliance with agreed standards and objectives."
Business_Activity,Joint Ventures,"Activities involved in managing the joint operations and relationship between the BBC and external partners for the purpose of commercial gain, and sharing expertise and risks."
Business_Activity,Meetings,"Activities associated with ad hoc gatherings held to formulate, discuss, update, or resolve issues and matters pertaining to the management of the team, department or organisation"
Business_Activity,Testing,Process of testing software and equipment before and after installation or use.
Business_Activity,Acquisition,"Process of gaining ownership or use of property and other items, or the provision of services required in the conduct of business through procurement process, purchase, requisitions or donations.  Includes the acquisition of deeds"
Business_Activity,Auditing,"Activities associated with officially checking financial, quality assurance and operational records to ensure they have been kept and maintained in accordance with agreed or legislated standards."
Business_Activity,Joint Ventures,"Activities involved in managing the joint operations and relationship between the BBC and external partners for the purpose of commercial gain, and sharing expertise and risks."
Business_Activity,Licence Fee,"Activities associated with the setting, collection and administration of the licence fee."
Business_Activity,Meetings,"Activities associated with ad hoc gatherings held to formulate, discuss, update, or resolve issues and matters pertaining to the management of the team, department or organisation"
Business_Activity,Research,"Activities involved in investigating or enquiring into a subject or area of interest in order to discover facts, principles etc. to be used to support the development of projects, programmes, standards and general business activities."
Business_Activity,Continuity,Activity of presenting links between programmes. Includes announcements and jingles.
Business_Activity,Frequencies,Activities involved in allocating frequencies for transmission of output.
Business_Activity,Rebroadcasting,Process of selling the BBC's programme output to third parties for transmission worldwide.
Business_Activity,Reception,Process of receiving a transmission.  Includes monitoring.
Business_Activity,Scheduling,Activity of arranging for the transmission of output.  Includes arranging time slots.
Business_Activity,Advertising,Activity of promoting merchandise and services for sale.  For programme advertising see TRAILS.
Business_Activity,Branding,"Activities involved in the policy, design and use of the BBC brands and logos for all its names, products, programmes, characters and services.  For the registration and protection of the BBC brands see INTELLECTUAL PROPERTY."
Business_Activity,Banking,Activities involved in managing the BBC's bank accounts.
Business_Activity,Budgeting,Process of planning the use of expected income and expenditure over a specified period.  For monitoring expenditure see EXPENDITURE activity.
Business_Activity,Expenditure,Process of checking spending progress or revenue collection against allocations within the budget records.
Business_Activity,Complaints,Process of dealing with the reaction to the BBC's policy and services.
Business_Activity,Licence Fee,"Activities associated with the setting, collection and administration of the licence fee."
Business_Activity,Meetings,"Activities associated with ad hoc gatherings held to formulate, discuss, update, or resolve issues and matters pertaining to the management of the team, department or organisation"
Business_Activity,Parliamentary and Political Relations,Activities involved with establishing and maintaining formal relations between the BBC and MPs and political parties.  See also Government Relations.
Business_Activity,Research,"Activities involved in investigating or enquiring into a subject or area of interest in order to discover facts, principles etc. to be used to support the development of projects, programmes, standards and general business activities."
Business_Activity,Seminars,Activities associated with holding any group or meeting for holding discussions or exchanging information. Includes governors seminars. Includes speeches and lectures.
Business_Activity,Visits,Activities associated with internal and external visits by staff and members of the public.
Business_Activity,Advice,"Process of providing advice, guidance, expertise and knowledge to other areas of the organisation. Includes external projects."
Business_Activity,Project Management,"Activity of planning, co-ordinating and controlling the delivery of products and services to an agreed time, quality and cost. Applies to the whole life of project from business case to post implementation review."
Business_Activity,Intellectual Property,"Protecting and promoting the BBC’s intellectual property interests and assets. Includes the registering, renewing and disposition of trademarks and copyright. Also trademark infringements. For Programme clearance and acquition use RIGHTS."
Business_Activity,Meetings,"Activities associated with ad hoc gatherings held to formulate, discuss, update, or resolve issues and matters pertaining to the management of the team, department or organisation"
Business_Activity,Research,"Activities involved in investigating or enquiring into a subject or area of interest in order to discover facts, principles etc. to be used to support the development of projects, programmes, standards and general business activities."
Business_Activity,Rights,"Process of clearing, acquiring and disposal of contributor rights (e.g literary, musical and artistic) to enable the BBC to produce, broadcast and commerically exploit programmes.  For contributor's contracts see TALENT MANAGEMENT. See also MERCHANDISING."
Business_Activity,Seminars,Activities associated with holding any group or meeting for holding discussions or exchanging information. Includes governors seminars. Includes speeches and lectures.
Business_Activity,Unions,Activities associated with union relations.  Includes liaison.
Business_Activity,Advice,"Process of providing advice, guidance, expertise and knowledge to other areas of the organisation. Includes external projects."
Business_Activity,Discipline,"Activities and actions associated with the disciplinary process includes investigation, charges, formal enquiries, punishment and appeals."
Business_Activity,Grievances,"Activities associated with the handling and resolution of grievances. Includes handling complaints over perceived discrimination, work environment, work organisation or distribution, peers, supervisors or subordinates.  For tribunals see LITIGATION."
Business_Activity,Meetings,"Activities associated with ad hoc gatherings held to formulate, discuss, update, or resolve issues and matters pertaining to the management of the team, department or organisation"
Business_Activity,Research,"Activities involved in investigating or enquiring into a subject or area of interest in order to discover facts, principles etc. to be used to support the development of projects, programmes, standards and general business activities."
Business_Activity,Seminars,Activities associated with holding any group or meeting for holding discussions or exchanging information. Includes governors seminars. Includes speeches and lectures.
Business_Activity,Unions,Activities associated with union relations.  Includes liaison.
Business_Activity,Acquisition,"Process of gaining ownership or use of property and other items, or the provision of services required in the conduct of business through procurement process, purchase, requisitions or donations.  Includes the acquisition of deeds"
Business_Activity,Commissioning,Process of authorising internal and external resources to carry out specific duties. Includes Programme commissioning.
Business_Activity,Events,Arranging and managing the activities associated with public and staff events and festivals. Does NOT include exhibitions.
